,1,1308,,CPU-PC,CPU-PC,HP,DX2810,33222,SGH9130LZ2,06/08/2009,,On Site,1308w0050_01,,,APPLE JEAN YRAY,Site Support,3.46GB,465GB,429GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,AOC,716Vwy,10704,F1082JA008464, ,,On Site, ,,,RON CARLO E. ALIDO, , , , , , , , , , , , , , , ,,,,1
,1,1308,,Mouse,Mouse,HP, ,31103, ,,,On Site,,,,RON CARLO E. ALIDO, ,,,,,,,,,,,,,,,,,,1
,1,1308,,Keyboard,Keyboard,COMPAQ, ,6517, , ,,On Site, ,,,RON CARLO E. ALIDO, , , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2810,32023,SGH130LT7,06/08/2009,,On Site,1308w0040_01,10.13.8.80,00-23-7D-2B-70-4F,GERALDINE BINALA,CASHIER,3.46GB,298.1GB,266.9GB,97%,Windows XP,DL DEMERIT,0,0,1,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,P204V,45515,3CQ01500W7, ,,On Site, ,,,GERALDINE BINALA, , , , , , , , , , , , , , , ,,,,1
,1,1308,,Mouse,Mouse, , ,30473, ,,,On Site,,,,GERALDINE BINALA, ,,,,,,,,,,,,,,,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,29906,SGH847005V,12/10/2008,,On Site,1308w0003_02,10.13.8.71,00-23-7D-16-66-9A,EVA C. CASITAS,RELEASING OFFICER,3.24GB,149.00 GB,116.4GB,100%,Windows XP,DL DEMERIT,0,0,1,1,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,26625,CNK84217JS, ,,On Site, ,,,EVA C. CASITAS, , , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,30380,SGH8400X3,12/10/2008,,On Site,1308w0015_23,10.13.8.225,00-23-7D-16-66-67,BERNADETTE LOURDES A. GUALBERTO,APPROVING,1.99GB,148.1GB,105.5GB,90%,Windows XP,DL DEMERIT,0,1,1,0,1,1,Ver 4.0,eScan,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,32101,SGH9130LVP,12/10/2008,,On Site,1308w0050_01,10.13.8.79,00-23-7D-2B-7A-19,APPLE JEAN YRAY,Site Support,4.00 GB,931GB,864.6GB,100%,Windows XP,DL DEMERIT,0,1,1,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,29942,SGH8470050,12/10/2008,,On Site,1308w0021_02,,,MAE BLANCA D. FRANKERA,EVALUATOR,3.24GB,229.1GB,121.4GB,80%,Windows XP,DL DEMERIT,0,0,1,0,0,0, Ver 3.5,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,26312,CNK8400K6D, ,,On Site, ,,,MAE BLANCA D. FRANKERA,EVALUATOR, , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2810,36992,SGH042SJFV,06/08/2009,,On Site,1308w0033_01,,,LUIS P. MARIN,EVALUATOR,2.87GB,232.90 GB,201.7GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,01023,CNC927NYV6, ,,On Site, ,,,LUIS P. MARIN, , , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,30328,SGH8470059,12/10/2008,,On Site,1308w0020_02,10.13.8.74,00-23-7D-16-66-DF,ROAN H. JUSON,EVALUATOR,3.24GB,149.00 GB,123GB,90%,Windows XP,DL DEMERIT,0,0,0,0,0,0, Ver 3.5,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,31823,CNK8400KDX, ,,On Site, ,,,ROAN H. JUSON, , , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,29888,SGH847006R,12/10/2008,,On Site,1308w0041_7,10.13.8.189,00-23-7D-16-66-B8,JOCELYN P. TAMA,EVALUATOR,3.24GB,465.70 GB,437.5GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,26714,CNK8400K12, ,,On Site, ,,,JOCELYN P. TAMA, , , , , , , , , , , , , , , ,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,29894,SGH8470085,12/10/2008,,On Site,1308w0023_01,10.13.8.72,00-23-7D-16-66-E2,OMAR A. NATIVIDAD,EVALUATOR,3.24GB,232.90 GB,199GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP,L1910,33981,CNC926RNV5, ,,On Site, ,,,OMAR A. NATIVIDAD, , , , , , , , , , , , , , , ,,,,1
,1,1308,,Mouse,Mouse,A4tech, ,30516, ,,,On Site,,,,OMAR A. NATIVIDAD, ,,,,,,,,,,,,,,,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2810,32512,SGH9130LL0,06/08/2009,,On Site,1308w0012_01,10.13.8.73,00-03-47-3A-AC-C4,REYNALDO CABALHIN,INSPECTOR,4.00 GB,149.00 GB,95.5GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,Monitor,Monitor,HP, ,04725,Unreadable, ,,On Site, ,,,REYNALDO CABALHIN, , , , , , , , , , , , , , , ,,,,1
,1,1308,,Mouse,Mouse,A4tech, ,30516, ,,,On Site,,,,REYNALDO CABALHIN, ,,,,,,,,,,,,,,,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,29963,SGH8470137,12/10/2008,,On Site,1308w0018_02,,,PEBBLES ANDRES,EVALUATOR,3.24GB,149.00 GB,88GB,100%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
,1,1308,,CPU-PC,CPU-PC,HP,DX2710,26191,SGH847010S,12/10/2008,,On Site,1308w0087_03,,,PEBBLES ANDRES, ,3.24GB,148.80 GB,120GB,85%,Windows XP,DL DEMERIT,0,0,0,0,0,0,Ver 4.0,eScan,,,,1
